Controller,.NET_Path,Java_Path,Status
Access,/Access/CreatePolicy,/Access/CreatePolicy,IMPLEMENTED
Access,/Access/GetAllPolicies,/Access/GetAllPolicies,IMPLEMENTED
Access,/Access/UpdatePolicy,/Access/UpdatePolicy,IMPLEMENTED
Access,/Access/DeletePolicy,/Access/DeletePolicy,IMPLEMENTED
Access,/Access/AddRole,/Access/AddRole,IMPLEMENTED
Access,/Access/GetAccessDetails,/Access/GetAccessDetails,IMPLEMENTED
Access,/Access/GetAllRoles,/Access/GetAllRoles,IMPLEMENTED
Access,/Access/GetAllModules,/Access/GetAllModules,IMPLEMENTED
Access,/Access/UpdateRole,/Access/UpdateRole,IMPLEMENTED
Access,/Access/DeleteRole,/Access/DeleteRole,IMPLEMENTED
Access,/Access/GetRole,/Access/GetRole,IMPLEMENTED
Access,/Access/GetAllRole,/Access/GetAllRole,IMPLEMENTED
Access,/Access/GetAccessRoles,/Access/GetAccessRoles,IMPLEMENTED
Access,/Access/GetAllPermissions,/Access/GetAllPermissions,IMPLEMENTED
Access,/Access/DDRole,/Access/DDRole,IMPLEMENTED
Access,/Access/AddModule,/Access/AddModule,IMPLEMENTED
Access,/Access/UpdateModule,/Access/UpdateModule,IMPLEMENTED
Access,/Access/DeleteModule,/Access/DeleteModule,IMPLEMENTED
Access,/Access/GetModule,/Access/GetModule,IMPLEMENTED
Access,/Access/GetAllModule,/Access/GetAllModule,IMPLEMENTED
Access,/Access/DDModule,/Access/DDModule,IMPLEMENTED
Access,/Access/AddSubModule,/Access/AddSubModule,IMPLEMENTED
Access,/Access/UpdateSubModule,/Access/UpdateSubModule,IMPLEMENTED
Access,/Access/DeleteSubModule,/Access/DeleteSubModule,IMPLEMENTED
Access,/Access/GetSubModule,/Access/GetSubModule,IMPLEMENTED
Access,/Access/GetAllSubModule,/Access/GetAllSubModule,IMPLEMENTED
Access,/Access/DDSubModule,/Access/DDSubModule,IMPLEMENTED
Access,/Access/AddPageModule,/Access/AddPageModule,IMPLEMENTED
Access,/Access/UpdatePageModule,/Access/UpdatePageModule,IMPLEMENTED
Access,/Access/DeletePageModule,/Access/DeletePageModule,IMPLEMENTED
Access,/Access/GetPageModule,/Access/GetPageModule,IMPLEMENTED
Access,/Access/GetAllPageModule,/Access/GetAllPageModule,IMPLEMENTED
Access,/Access/DDPageModule,/Access/DDPageModule,IMPLEMENTED
Access,/Access/AddDept,/Access/AddDept,IMPLEMENTED
Access,/Access/UpdateDept,/Access/UpdateDept,IMPLEMENTED
Access,/Access/DeleteDept,/Access/DeleteDept,IMPLEMENTED
Access,/Access/GetDept,/Access/GetDept,IMPLEMENTED
Access,/Access/GetAllDept,/Access/GetAllDept,IMPLEMENTED
Access,/Access/DDDept,/Access/DDDept,IMPLEMENTED
Access,/Access/DDAccess,/Access/DDAccess,IMPLEMENTED
Access,/Access/AddAccess,/Access/AddAccess,IMPLEMENTED
Access,/Access/DeleteAccess,/Access/DeleteAccess,IMPLEMENTED
Access,/Access/GetAccess,/Access/GetAccess,IMPLEMENTED
Access,/Access/GetAllAccess,/Access/GetAllAccess,IMPLEMENTED
Access,/Access/UpdateAccess,/Access/UpdateAccess,IMPLEMENTED
Access,/Access/GetAccesspolicy,/Access/GetAccesspolicy,IMPLEMENTED
Access,/Access/DDCompany,/Access/DDCompany,IMPLEMENTED
Access,/Access/DDEmployee,/Access/DDEmployee,IMPLEMENTED
Access,/Access/DDDepartmentEmployee,/Access/DDDepartmentEmployee,IMPLEMENTED
Access,/Access/DDDesignation,/Access/DDDesignation,IMPLEMENTED
Access,/Access/DDGrade,/Access/DDGrade,IMPLEMENTED
Attendance,/Attendance/GetAllAttendance,/Attendance/GetAllAttendance,IMPLEMENTED
